xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx || x || x
0000000011100111000000000000000000000000000000001110011100000000 1000010100101000010100101000000000000000000001010010100001010010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000101001010000101001010000000000000000000010100101000010100101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0001010010100001010010100000000000000000000101001010000101001011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0010100101000010100101000000000000000000001010010100001010010111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0101001010000101001010000000000000000000010100101000010100101111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1010010100001010010100000000000000000000101001010000101001011110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0100101000010100101000000000000000000001010010100001010010111101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1001010000101001010000000000000000000010100101000010100101111010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0010100001010010100000000000000000000101001010000101001011110100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0101000010100101000000000000000000001010010100001010010111101001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1010000101001010000000000000000000010100101000010100101111010010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0100001010010100000000000000000000101001010000101001011110100101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1000010100101000000000000000000001010010100001010010111101001011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000101001010000000000000000000010100101000010100101111010010111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0001010010100000000000000000000101001010000101001011110100101111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0010100101000000000000000000001010010100001010010111101001011111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0101001010000000000000000000010100101000010100101111010010111111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1010010100000000000000000000101001010000101001011110100101111110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0100101000000000000000000001010010100001010010111101001011111101 || 0 || 1
